2024-03-21 16:22:03,557,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-03-21 16:44:01,426,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-03-21 16:44:24,942,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-01 16:43:53,459,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-01 16:44:52,513,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-01 16:45:46,945,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-01 16:56:35,142,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-01 16:57:28,760,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-01 16:58:32,415,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-24 16:53:09,749,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-24 16:54:54,050,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-24 17:02:42,241,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-25 00:54:48,070,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-25 01:12:37,040,quad_logger,CRITICAL,New Traj Sample Start From Here
2024-04-25 01:14:16,504,quad_logger,CRITICAL,New Traj Sample Start From Here
